iter	MAPE	RMSE	R2	MAE
121	0.3314366818	569046.0408	0.9014369753	243810.2567
122	0.3290173093	567965.0601	0.9018110875	243208.7069
123	0.3273658137	566946.8975	0.9021628087	242697.3448
124	0.3271043691	565599.5639	0.9026272709	242401.9982
125	0.3271965528	564641.0335	0.9029570294	242265.499
126	0.3261835549	563178.6902	0.9034590346	242034.0443
127	0.3261088198	562257.2504	0.9037746855	241908.2855
128	0.3259042538	560055.397	0.9045268649	241692.7885
129	0.3262490093	558884.2519	0.9049257397	241605.256
130	0.3261816617	557015.0836	0.9055606212	241218.0163
131	0.3240629652	555971.7227	0.905914084	240806.375
132	0.3241077111	554802.4022	0.9063094311	240682.0577
133	0.3226926023	553633.4946	0.9067038066	240331.4259
134	0.3227480632	552483.7587	0.9070909025	240253.5865
135	0.321897855	550943.3408	0.9076082727	239887.7804
136	0.3209831487	549870.9711	0.9079675897	239448.1414
137	0.3208848841	548157.9727	0.9085401088	239094.1167
138	0.3207313859	546226.4809	0.9091835101	238421.0768
139	0.320705759	545212.2805	0.9095204422	238310.9185
140	0.3190267722	544255.934	0.9098375808	237932.3294
141	0.3190443492	543286.2272	0.9101585813	237820.3811
142	0.3195971502	543148.9985	0.9102039617	237865.2721
143	0.3195503875	541498.8154	0.9107487654	237625.3958
144	0.3193704533	539685.0248	0.9113456714	236971.461
145	0.3186722202	538911.8093	0.9115995224	236784.7625
146	0.3171348265	537354.5897	0.9121096618	236380.2317
147	0.3155514118	536540.1061	0.9123758956	235967.402
148	0.3156969876	535460.4535	0.9127281839	235898.0259
149	0.3140759414	534916.7201	0.9129053343	235568.3203
150	0.3139400807	532919.4122	0.9135545198	235177.1822
151	0.3125644042	531171.6912	0.9141205898	234650.5113
152	0.311326279	530704.0484	0.9142717395	234398.2523
153	0.3104240794	530133.4909	0.9144559725	234161.6851
154	0.3095420258	529751.6185	0.9145791685	233992.5614
155	0.309690432	528512.9116	0.9149781768	233776.2302
156	0.3079441136	527646.9447	0.9152565646	233473.4594
157	0.3078732221	526136.38	0.9157410825	233241.584
158	0.3069203217	525596.6475	0.9159138664	233018.7575
159	0.3053760864	524860.2152	0.9161493335	232751.1657
160	0.3048669893	524308.8585	0.9163254084	232590.0777
161	0.3042169522	523880.4048	0.9164621066	232460.1832
162	0.303788265	523030.469	0.916732948	232309.6868
163	0.3038946988	522083.7453	0.9170341142	232094.2799
164	0.3033212449	521607.3046	0.9171854703	231966.0721
165	0.3031871932	521005.1894	0.9173765532	231784.9962
166	0.3031755722	520505.2602	0.9175350393	231696.5438
167	0.3034351174	520394.2263	0.9175702184	231714.9675
168	0.3033481845	519899.7517	0.9177267922	231630.8389
169	0.3033803189	519215.8407	0.9179431052	231623.7795
170	0.3017059037	517530.9493	0.9184748018	231052.9148
171	0.3015068112	515882.6995	0.9189932632	230756.3604
172	0.299932654	515363.6499	0.9191561892	230471.8877
173	0.2999603148	514412.9015	0.9194541971	230291.5273
174	0.3001429921	514296.2282	0.91949073	230306.4016
175	0.2986608453	513081.8912	0.9198704721	229812.9606
176	0.2977475818	511987.5234	0.9202119289	229321.0336
177	0.2958234439	511226.5192	0.9204489422	228793.288
178	0.2959712771	511132.3051	0.9204782605	228804.4301
179	0.294753757	510541.6726	0.920661935	228415.7511
180	0.2946983467	509878.3568	0.9208679593	228329.6738
181	0.2930627022	508863.4811	0.9211826589	228051.2797
182	0.2923759969	508473.6157	0.9213033844	227920.9183
183	0.2925243456	508143.8481	0.9214054277	227916.9255
184	0.2916680828	507683.9393	0.9215476315	227656.6414
185	0.2916721913	507180.5304	0.9217031378	227615.5709
186	0.2917116335	507075.7909	0.9217354732	227611.9924
187	0.2913611401	506574.9716	0.9218899946	227549.1174
188	0.2914445408	506495.7537	0.9219144223	227554.0264
189	0.2892710886	505680.0923	0.922165718	226915.1901
